RequestedDeliveryMonth,MaterialKey,PlantKey,Quantity,MaterialPlantKey
2022-01-01,1,4,15978,10004
2022-01-01,1,5,5360,10005
2022-01-01,1,6,5170,10006
2022-01-01,1,7,180,10007
2022-01-01,1,8,6966,10008
2022-01-01,2,4,3710,20004
2022-01-01,2,5,1465,20005
2022-01-01,2,6,1970,20006
2022-01-01,2,7,11,20007
2022-01-01,2,8,1746,20008
2022-02-01,1,4,9854,10004
2022-02-01,1,5,4008,10005
2022-02-01,1,6,7278,10006
2022-02-01,1,7,272,10007
2022-02-01,1,8,5614,10008
2022-02-01,2,4,3463,20004
2022-02-01,2,5,1624,20005
2022-02-01,2,6,1891,20006
2022-02-01,2,7,74,20007
2022-02-01,2,8,1334,20008
2022-03-01,1,4,16554,10004
2022-03-01,1,5,7585,10005
2022-03-01,1,6,7715,10006
2022-03-01,1,7,140,10007
2022-03-01,1,8,5714,10008
2022-03-01,2,4,3144,20004
2022-03-01,2,5,1288,20005
2022-03-01,2,6,1782,20006
2022-03-01,2,7,40,20007
2022-03-01,2,8,1176,20008
2022-04-01,1,4,17272,10004
2022-04-01,1,5,4644,10005
2022-04-01,1,6,7276,10006
2022-04-01,1,7,177,10007
2022-04-01,1,8,6007,10008
2022-04-01,2,4,3044,20004
2022-04-01,2,5,1473,20005
2022-04-01,2,6,1737,20006
2022-04-01,2,7,48,20007
2022-04-01,2,8,1503,20008
2022-05-01,1,4,13967,10004
2022-05-01,1,5,5308,10005
2022-05-01,1,6,6284,10006
2022-05-01,1,7,236,10007
2022-05-01,1,8,6788,10008
2022-05-01,2,4,4946,20004
2022-05-01,2,5,1918,20005
2022-05-01,2,6,1850,20006
2022-05-01,2,7,54,20007
2022-05-01,2,8,1257,20008
2022-06-01,1,4,17042,10004
2022-06-01,1,5,5642,10005
2022-06-01,1,6,9220,10006
2022-06-01,1,7,197,10007
2022-06-01,1,8,5665,10008
2022-06-01,2,4,3683,20004
2022-06-01,2,5,1417,20005
2022-06-01,2,6,1680,20006
2022-06-01,2,7,46,20007
2022-06-01,2,8,1508,20008
2022-07-01,1,4,11054,10004
2022-07-01,1,5,5968,10005
2022-07-01,1,6,9508,10006
2022-07-01,1,7,124,10007
2022-07-01,1,8,4711,10008
2022-07-01,2,4,4738,20004
2022-07-01,2,5,1509,20005
2022-07-01,2,6,2058,20006
2022-07-01,2,7,131,20007
2022-07-01,2,8,1322,20008
2022-08-01,1,4,11945,10004
2022-08-01,1,5,5956,10005
2022-08-01,1,6,7605,10006
2022-08-01,1,7,187,10007
2022-08-01,1,8,5478,10008
2022-08-01,2,4,3677,20004
2022-08-01,2,5,1729,20005
2022-08-01,2,6,1719,20006
2022-08-01,2,7,31,20007
2022-08-01,2,8,1898,20008
2022-09-01,1,4,17064,10004
2022-09-01,1,5,7006,10005
2022-09-01,1,6,7225,10006
2022-09-01,1,7,243,10007
2022-09-01,1,8,4924,10008
2022-09-01,2,4,2361,20004
2022-09-01,2,5,1947,20005
2022-09-01,2,6,1438,20006
2022-09-01,2,7,31,20007
2022-09-01,2,8,1509,20008
2022-10-01,1,4,16638,10004
2022-10-01,1,5,7514,10005
2022-10-01,1,6,8416,10006
2022-10-01,1,7,290,10007
2022-10-01,1,8,6201,10008
2022-10-01,2,4,3452,20004
2022-10-01,2,5,1650,20005
2022-10-01,2,6,2666,20006
2022-10-01,2,7,64,20007
2022-10-01,2,8,2177,20008
